id,Condition,Symptom 1,Symptom 2,Symptom 3,Symptom 4
0,Hyperventilation,Dizziness/light-headed,Breathing difficulty,,
1,Cardiac Arrest,Breathing difficulty,Unconsciousness,Chest pain,
2,Stroke,Loss of arm mobility,Unconsciousness,Slurred speech,
3,Epileptic Seizures,Breathing difficulty,,,
4,Epileptic Seizures,Jerking of limbs,,,
5,Concussion,Unconsciousness,Disorientation,Bruising/swelling on head,Headache
6,Sprains,Bruising of joint,,,
7,Bone Fracture/Dislocation,Visible deformity of bone/joint,Bruising of joint,Swelling of joint,
8,Hyperventilation,Dizziness/light-headed,Palpitation/rapid pulse,,
9,Burn/Scalds,Red/peeling skin,,,
10,Bone Fracture/Dislocation,Swelling of joint,Visible deformity of bone/joint,Bruising of joint,
11,Concussion,Unconsciousness,,,
12,Heatstroke,Excessive sweating,Dizziness/light-headed,Clammy skin,High body temperature
13,Hyperventilation,Disorientation,,,
14,Heatstroke,Dizziness/light-headed,Clammy skin,Excessive sweating,
15,Epileptic Seizures,Breathing difficulty,Jerking of limbs,,
16,Epileptic Seizures,Jerking of limbs,Disorientation,,
17,Sprains,Swelling of joint,Bruising of joint,,
18,Stroke,Unconsciousness,Loss of arm mobility,,
19,Cardiac Arrest,Breathing difficulty,Unconsciousness,Chest pain,Absence of pulse
20,Epileptic Seizures,Jerking of limbs,Disorientation,,
21,Stroke,Slurred speech,Loss of arm mobility,,
22,Epileptic Seizures,Disorientation,Breathing difficulty,Jerking of limbs,Unconsciousness
23,Heatstroke,Clammy skin,Dizziness/light-headed,Excessive sweating,
24,Hyperventilation,Palpitation/rapid pulse,Disorientation,,
25,Stroke,Loss of arm mobility,Unconsciousness,Slurred speech,
26,Hyperventilation,Disorientation,,,
27,Concussion,Disorientation,Headache,,
28,Stroke,Slurred speech,,,
29,Hyperventilation,Dizziness/light-headed,Disorientation,Palpitation/rapid pulse,Breathing difficulty
30,Burn/Scalds,Red/peeling skin,,,
31,Burn/Scalds,Red/peeling skin,,,
32,Stroke,Loss of arm mobility,,,
33,Bone Fracture/Dislocation,Bruising of joint,Swelling of joint,,
34,Heatstroke,High body temperature,Excessive sweating,Dizziness/light-headed,
35,Sprains,Swelling of joint,Bruising of joint,,
36,Hyperventilation,Palpitation/rapid pulse,Breathing difficulty,Disorientation,
37,Hyperventilation,Breathing difficulty,,,
38,Hyperventilation,Palpitation/rapid pulse,,,
39,Heatstroke,Dizziness/light-headed,High body temperature,Clammy skin,
40,Epileptic Seizures,Breathing difficulty,,,
41,Cardiac Arrest,Chest pain,,,
42,Epileptic Seizures,Breathing difficulty,Jerking of limbs,Disorientation,
43,Bone Fracture/Dislocation,Bruising of joint,Visible deformity of bone/joint,Swelling of joint,
44,Sprains,Swelling of joint,Bruising of joint,,
45,Heatstroke,Clammy skin,High body temperature,Dizziness/light-headed,Excessive sweating
46,Stroke,Slurred speech,Loss of arm mobility,Unconsciousness,
47,Sprains,Bruising of joint,,,
48,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
49,Hyperventilation,Dizziness/light-headed,Breathing difficulty,,
50,Hyperventilation,Breathing difficulty,,,
51,Cardiac Arrest,Chest pain,Breathing difficulty,Absence of pulse,
52,Sprains,Swelling of joint,,,
53,Stroke,Slurred speech,Lopsided facial expression,Unconsciousness,Loss of arm mobility
54,Heatstroke,Clammy skin,Excessive sweating,Dizziness/light-headed,
55,Bone Fracture/Dislocation,Swelling of joint,Bruising of joint,,
56,External Bleeding,Bleeding from an open wound,,,
57,Burn/Scalds,Charred/blistered skin,,,
58,Cardiac Arrest,Breathing difficulty,Absence of pulse,,
59,Concussion,Unconsciousness,Headache,Bruising/swelling on head,
60,Stroke,Unconsciousness,Slurred speech,,
61,Hyperventilation,Breathing difficulty,Dizziness/light-headed,Palpitation/rapid pulse,
62,External Bleeding,Bleeding from an open wound,,,
63,Concussion,Unconsciousness,Bruising/swelling on head,Headache,
64,Heatstroke,Clammy skin,High body temperature,,
65,Hyperventilation,Breathing difficulty,Disorientation,Dizziness/light-headed,
66,Concussion,Unconsciousness,Bruising/swelling on head,Headache,Disorientation
67,Concussion,Disorientation,Bruising/swelling on head,,
68,Epileptic Seizures,Breathing difficulty,,,
69,Burn/Scalds,Red/peeling skin,,,
70,External Bleeding,Bleeding from an open wound,,,
71,Hyperventilation,Breathing difficulty,Palpitation/rapid pulse,Dizziness/light-headed,Disorientation
72,Stroke,Loss of arm mobility,,,
73,Cardiac Arrest,Unconsciousness,Breathing difficulty,,
74,Cardiac Arrest,Breathing difficulty,Absence of pulse,Unconsciousness,
75,Concussion,Headache,Unconsciousness,Disorientation,
76,Bone Fracture/Dislocation,Visible deformity of bone/joint,,,
77,Cardiac Arrest,Chest pain,Unconsciousness,,
78,Epileptic Seizures,Unconsciousness,Breathing difficulty,,
79,Epileptic Seizures,Breathing difficulty,Jerking of limbs,,
80,Bone Fracture/Dislocation,Swelling of joint,Visible deformity of bone/joint,,
81,Concussion,Unconsciousness,,,
82,Stroke,Loss of arm mobility,Lopsided facial expression,Slurred speech,
83,External Bleeding,Bleeding from an open wound,,,
84,External Bleeding,Bleeding from an open wound,,,
85,Concussion,Disorientation,Bruising/swelling on head,Unconsciousness,Headache
86,Sprains,Swelling of joint,,,
87,External Bleeding,Bleeding from an open wound,,,
88,Concussion,Unconsciousness,Disorientation,Bruising/swelling on head,
89,Hyperventilation,Palpitation/rapid pulse,,,
90,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
91,Hyperventilation,Disorientation,,,
92,Burn/Scalds,Red/peeling skin,,,
93,Hyperventilation,Breathing difficulty,Disorientation,,
94,Bone Fracture/Dislocation,Visible deformity of bone/joint,Bruising of joint,,
95,Concussion,Unconsciousness,Bruising/swelling on head,Headache,
96,Sprains,Swelling of joint,,,
97,Stroke,Loss of arm mobility,Slurred speech,,
98,Sprains,Bruising of joint,,,
99,Heatstroke,High body temperature,Clammy skin,Excessive sweating,
100,Cardiac Arrest,Absence of pulse,,,
101,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
102,Concussion,Bruising/swelling on head,Headache,,
103,Concussion,Disorientation,,,
104,External Bleeding,Bleeding from an open wound,,,
105,External Bleeding,Bleeding from an open wound,,,
106,Hyperventilation,Disorientation,Palpitation/rapid pulse,Dizziness/light-headed,
107,Hyperventilation,Breathing difficulty,Disorientation,Dizziness/light-headed,Palpitation/rapid pulse
108,Bone Fracture/Dislocation,Visible deformity of bone/joint,Swelling of joint,,
109,Bone Fracture/Dislocation,Swelling of joint,,,
110,External Bleeding,Bleeding from an open wound,,,
111,Cardiac Arrest,Unconsciousness,,,
112,Concussion,Unconsciousness,Bruising/swelling on head,,
113,External Bleeding,Bleeding from an open wound,,,
114,Stroke,Lopsided facial expression,Slurred speech,Unconsciousness,Loss of arm mobility
115,Cardiac Arrest,Breathing difficulty,Chest pain,Absence of pulse,Unconsciousness
116,Sprains,Swelling of joint,Bruising of joint,,
117,Sprains,Swelling of joint,Bruising of joint,,
118,Sprains,Swelling of joint,Bruising of joint,,
119,Cardiac Arrest,Breathing difficulty,,,
120,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
121,Cardiac Arrest,Unconsciousness,Absence of pulse,Chest pain,Breathing difficulty
122,External Bleeding,Bleeding from an open wound,,,
123,Hyperventilation,Breathing difficulty,Palpitation/rapid pulse,,
124,Heatstroke,Dizziness/light-headed,Excessive sweating,Clammy skin,
125,Sprains,Bruising of joint,Swelling of joint,,
126,Bone Fracture/Dislocation,Swelling of joint,,,
127,Stroke,Slurred speech,,,
128,Stroke,Slurred speech,Loss of arm mobility,Unconsciousness,
129,Cardiac Arrest,Breathing difficulty,Absence of pulse,Chest pain,Unconsciousness
130,Concussion,Bruising/swelling on head,Disorientation,Headache,Unconsciousness
131,External Bleeding,Bleeding from an open wound,,,
132,Stroke,Lopsided facial expression,,,
133,External Bleeding,Bleeding from an open wound,,,
134,Stroke,Slurred speech,,,
135,Concussion,Bruising/swelling on head,,,
136,Epileptic Seizures,Unconsciousness,,,
137,Burn/Scalds,Charred/blistered skin,,,
138,External Bleeding,Bleeding from an open wound,,,
139,External Bleeding,Bleeding from an open wound,,,
140,Hyperventilation,Palpitation/rapid pulse,Breathing difficulty,,
141,External Bleeding,Bleeding from an open wound,,,
142,Sprains,Swelling of joint,Bruising of joint,,
143,Epileptic Seizures,Unconsciousness,Disorientation,,
144,Heatstroke,High body temperature,Dizziness/light-headed,Excessive sweating,Clammy skin
145,Heatstroke,High body temperature,,,
146,Hyperventilation,Breathing difficulty,,,
147,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
148,Heatstroke,Dizziness/light-headed,Excessive sweating,Clammy skin,High body temperature
149,Burn/Scalds,Charred/blistered skin,,,
150,External Bleeding,Bleeding from an open wound,,,
151,Hyperventilation,Dizziness/light-headed,Breathing difficulty,,
152,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
153,Hyperventilation,Disorientation,Palpitation/rapid pulse,,
154,Heatstroke,Excessive sweating,High body temperature,,
155,Epileptic Seizures,Unconsciousness,Jerking of limbs,Disorientation,Breathing difficulty
156,Sprains,Bruising of joint,Swelling of joint,,
157,Cardiac Arrest,Breathing difficulty,Unconsciousness,Chest pain,
158,Bone Fracture/Dislocation,Bruising of joint,Swelling of joint,Visible deformity of bone/joint,
159,Bone Fracture/Dislocation,Swelling of joint,,,
160,Stroke,Unconsciousness,Slurred speech,,
161,External Bleeding,Bleeding from an open wound,,,
162,Heatstroke,Dizziness/light-headed,Clammy skin,High body temperature,
163,External Bleeding,Bleeding from an open wound,,,
164,Epileptic Seizures,Breathing difficulty,Jerking of limbs,Disorientation,
165,Cardiac Arrest,Unconsciousness,Breathing difficulty,,
166,Epileptic Seizures,Jerking of limbs,,,
167,Epileptic Seizures,Unconsciousness,,,
168,External Bleeding,Bleeding from an open wound,,,
169,Epileptic Seizures,Disorientation,Jerking of limbs,Unconsciousness,Breathing difficulty
170,Stroke,Unconsciousness,Loss of arm mobility,,
171,Epileptic Seizures,Unconsciousness,Jerking of limbs,,
172,External Bleeding,Bleeding from an open wound,,,
173,Cardiac Arrest,Chest pain,,,
174,Cardiac Arrest,Unconsciousness,Chest pain,,
175,Concussion,Bruising/swelling on head,Headache,Disorientation,
176,Sprains,Bruising of joint,Swelling of joint,,
177,Concussion,Disorientation,Unconsciousness,,
178,Hyperventilation,Dizziness/light-headed,Breathing difficulty,Disorientation,
179,Epileptic Seizures,Disorientation,,,
180,External Bleeding,Bleeding from an open wound,,,
181,Cardiac Arrest,Absence of pulse,Breathing difficulty,Unconsciousness,Chest pain
182,Cardiac Arrest,Unconsciousness,,,
183,Hyperventilation,Dizziness/light-headed,Breathing difficulty,Palpitation/rapid pulse,Disorientation
184,Heatstroke,Clammy skin,,,
185,Heatstroke,Excessive sweating,Dizziness/light-headed,High body temperature,Clammy skin
186,Epileptic Seizures,Unconsciousness,Breathing difficulty,Jerking of limbs,Disorientation
187,Sprains,Swelling of joint,Bruising of joint,,
188,Epileptic Seizures,Unconsciousness,Disorientation,Breathing difficulty,
189,Concussion,Headache,,,
190,Sprains,Swelling of joint,Bruising of joint,,
191,Stroke,Slurred speech,Loss of arm mobility,Lopsided facial expression,Unconsciousness
192,Heatstroke,Excessive sweating,,,
193,Epileptic Seizures,Jerking of limbs,Unconsciousness,Disorientation,Breathing difficulty
194,Hyperventilation,Breathing difficulty,,,
195,Heatstroke,Dizziness/light-headed,,,
196,Burn/Scalds,Red/peeling skin,,,
197,Stroke,Unconsciousness,Loss of arm mobility,Lopsided facial expression,Slurred speech
198,Stroke,Lopsided facial expression,Slurred speech,,
199,Stroke,Unconsciousness,,,
200,Concussion,Unconsciousness,Bruising/swelling on head,,
201,Heatstroke,Dizziness/light-headed,Excessive sweating,High body temperature,Clammy skin
202,Heatstroke,Clammy skin,High body temperature,,
203,Hyperventilation,Disorientation,Breathing difficulty,Palpitation/rapid pulse,Dizziness/light-headed
204,Concussion,Unconsciousness,Bruising/swelling on head,Disorientation,Headache
205,Heatstroke,High body temperature,Dizziness/light-headed,Clammy skin,Excessive sweating
206,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
207,Concussion,Disorientation,Unconsciousness,,
208,Bone Fracture/Dislocation,Bruising of joint,Swelling of joint,Visible deformity of bone/joint,
209,Cardiac Arrest,Chest pain,,,
210,Sprains,Swelling of joint,,,
211,Heatstroke,High body temperature,Clammy skin,,
212,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
213,Cardiac Arrest,Absence of pulse,Unconsciousness,,
214,Sprains,Bruising of joint,Swelling of joint,,
215,Cardiac Arrest,Absence of pulse,Breathing difficulty,,
216,Epileptic Seizures,Disorientation,Jerking of limbs,Unconsciousness,
217,Epileptic Seizures,Breathing difficulty,,,
218,Hyperventilation,Breathing difficulty,Dizziness/light-headed,,
219,Cardiac Arrest,Unconsciousness,Absence of pulse,Breathing difficulty,Chest pain
220,Hyperventilation,Breathing difficulty,Palpitation/rapid pulse,Dizziness/light-headed,
221,Epileptic Seizures,Jerking of limbs,Breathing difficulty,Disorientation,Unconsciousness
222,Hyperventilation,Breathing difficulty,Palpitation/rapid pulse,,
223,Bone Fracture/Dislocation,Swelling of joint,,,
224,Epileptic Seizures,Jerking of limbs,Disorientation,,
225,Hyperventilation,Breathing difficulty,Disorientation,Dizziness/light-headed,Palpitation/rapid pulse
226,Epileptic Seizures,Unconsciousness,Disorientation,Breathing difficulty,Jerking of limbs
227,Sprains,Bruising of joint,Swelling of joint,,
228,Heatstroke,High body temperature,,,
229,Burn/Scalds,Red/peeling skin,,,
230,Epileptic Seizures,Disorientation,,,
231,Bone Fracture/Dislocation,Bruising of joint,Swelling of joint,Visible deformity of bone/joint,
232,Concussion,Disorientation,Unconsciousness,,
233,Concussion,Disorientation,Bruising/swelling on head,Unconsciousness,
234,Cardiac Arrest,Unconsciousness,Absence of pulse,Breathing difficulty,
235,Hyperventilation,Palpitation/rapid pulse,Disorientation,,
236,Bone Fracture/Dislocation,Visible deformity of bone/joint,,,
237,External Bleeding,Bleeding from an open wound,,,
238,Sprains,Bruising of joint,,,
239,Heatstroke,High body temperature,Dizziness/light-headed,,
240,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
241,Epileptic Seizures,Unconsciousness,Disorientation,Breathing difficulty,Jerking of limbs
242,Hyperventilation,Breathing difficulty,,,
243,Burn/Scalds,Charred/blistered skin,,,
244,Concussion,Disorientation,Bruising/swelling on head,Headache,Unconsciousness
245,Bone Fracture/Dislocation,Bruising of joint,Visible deformity of bone/joint,Swelling of joint,
246,Heatstroke,Dizziness/light-headed,,,
247,Stroke,Unconsciousness,Lopsided facial expression,Slurred speech,
248,Heatstroke,Excessive sweating,Clammy skin,Dizziness/light-headed,High body temperature
249,Cardiac Arrest,Chest pain,Breathing difficulty,Unconsciousness,
250,Concussion,Bruising/swelling on head,Disorientation,Unconsciousness,
251,Bone Fracture/Dislocation,Visible deformity of bone/joint,,,
252,Hyperventilation,Palpitation/rapid pulse,,,
253,Hyperventilation,Palpitation/rapid pulse,Dizziness/light-headed,Disorientation,
254,External Bleeding,Bleeding from an open wound,,,
255,Stroke,Lopsided facial expression,Unconsciousness,Loss of arm mobility,
256,Heatstroke,Dizziness/light-headed,Clammy skin,Excessive sweating,
257,Burn/Scalds,Red/peeling skin,,,
258,Epileptic Seizures,Unconsciousness,Disorientation,Breathing difficulty,
259,Hyperventilation,Dizziness/light-headed,Palpitation/rapid pulse,Breathing difficulty,Disorientation
260,Stroke,Slurred speech,Unconsciousness,Lopsided facial expression,Loss of arm mobility
261,Epileptic Seizures,Disorientation,Jerking of limbs,Breathing difficulty,
262,Heatstroke,High body temperature,Dizziness/light-headed,Excessive sweating,Clammy skin
263,External Bleeding,Bleeding from an open wound,,,
264,Epileptic Seizures,Unconsciousness,Jerking of limbs,Breathing difficulty,Disorientation
265,Concussion,Disorientation,Headache,,
266,Hyperventilation,Breathing difficulty,Disorientation,Palpitation/rapid pulse,
267,Hyperventilation,Disorientation,Dizziness/light-headed,Breathing difficulty,
268,Heatstroke,Excessive sweating,High body temperature,Clammy skin,
269,Epileptic Seizures,Breathing difficulty,,,
270,External Bleeding,Bleeding from an open wound,,,
271,Stroke,Loss of arm mobility,Slurred speech,Unconsciousness,Lopsided facial expression
272,Burn/Scalds,Red/peeling skin,,,
273,Heatstroke,Dizziness/light-headed,Excessive sweating,High body temperature,
274,Sprains,Bruising of joint,Swelling of joint,,
275,Concussion,Headache,Unconsciousness,,
276,Heatstroke,Excessive sweating,Clammy skin,,
277,Stroke,Lopsided facial expression,Loss of arm mobility,,
278,Concussion,Headache,,,
279,External Bleeding,Bleeding from an open wound,,,
280,Hyperventilation,Disorientation,,,
281,Stroke,Loss of arm mobility,Lopsided facial expression,,
282,External Bleeding,Bleeding from an open wound,,,
283,Hyperventilation,Breathing difficulty,Disorientation,Palpitation/rapid pulse,
284,Sprains,Bruising of joint,,,
285,Concussion,Bruising/swelling on head,Headache,Disorientation,Unconsciousness
286,Epileptic Seizures,Breathing difficulty,Unconsciousness,,
287,External Bleeding,Bleeding from an open wound,,,
288,External Bleeding,Bleeding from an open wound,,,
289,Hyperventilation,Dizziness/light-headed,Disorientation,,
290,Concussion,Unconsciousness,Bruising/swelling on head,Headache,Disorientation
291,Stroke,Loss of arm mobility,,,
292,Burn/Scalds,Red/peeling skin,,,
293,Bone Fracture/Dislocation,Bruising of joint,,,
294,Stroke,Unconsciousness,,,
295,Hyperventilation,Palpitation/rapid pulse,,,
296,Epileptic Seizures,Breathing difficulty,,,
297,Concussion,Headache,,,
298,Epileptic Seizures,Unconsciousness,Breathing difficulty,Jerking of limbs,
299,Heatstroke,Excessive sweating,Dizziness/light-headed,Clammy skin,
300,External Bleeding,Bleeding from an open wound,,,
301,Bone Fracture/Dislocation,Visible deformity of bone/joint,,,
302,External Bleeding,Bleeding from an open wound,,,
303,External Bleeding,Bleeding from an open wound,,,
304,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
305,Heatstroke,Dizziness/light-headed,High body temperature,,
306,Stroke,Loss of arm mobility,Slurred speech,Unconsciousness,
307,Bone Fracture/Dislocation,Swelling of joint,Bruising of joint,Visible deformity of bone/joint,
308,Bone Fracture/Dislocation,Bruising of joint,,,
309,Bone Fracture/Dislocation,Swelling of joint,Bruising of joint,,
310,Cardiac Arrest,Absence of pulse,Breathing difficulty,Chest pain,
311,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
312,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
313,Heatstroke,Excessive sweating,,,
314,Bone Fracture/Dislocation,Swelling of joint,,,
315,Burn/Scalds,Charred/blistered skin,,,
316,Concussion,Bruising/swelling on head,Unconsciousness,Disorientation,Headache
317,External Bleeding,Bleeding from an open wound,,,
318,Concussion,Disorientation,Headache,,
319,Epileptic Seizures,Breathing difficulty,Jerking of limbs,Disorientation,
320,Sprains,Bruising of joint,,,
321,Sprains,Bruising of joint,,,
322,Bone Fracture/Dislocation,Bruising of joint,Swelling of joint,,
323,Concussion,Headache,Bruising/swelling on head,,
324,Heatstroke,Dizziness/light-headed,Excessive sweating,,
325,Hyperventilation,Breathing difficulty,Dizziness/light-headed,,
326,External Bleeding,Bleeding from an open wound,,,
327,Heatstroke,High body temperature,,,
328,Sprains,Bruising of joint,Swelling of joint,,
329,External Bleeding,Bleeding from an open wound,,,
330,External Bleeding,Bleeding from an open wound,,,
331,Sprains,Swelling of joint,,,
332,Concussion,Unconsciousness,Disorientation,Bruising/swelling on head,Headache
333,Heatstroke,Excessive sweating,High body temperature,Dizziness/light-headed,Clammy skin
334,Cardiac Arrest,Breathing difficulty,Chest pain,Absence of pulse,
