id,Condition,Symptom 1,Symptom 2,Symptom 3,Symptom 4
668,Burn/Scalds,Charred/blistered skin,,,
669,Cardiac Arrest,Absence of pulse,Breathing difficulty,,
670,External Bleeding,Bleeding from an open wound,,,
671,Burn/Scalds,Red/peeling skin,,,
672,External Bleeding,Bleeding from an open wound,,,
673,Heatstroke,High body temperature,Excessive sweating,Dizziness/light-headed,Clammy skin
674,Epileptic Seizures,Disorientation,,,
675,External Bleeding,Bleeding from an open wound,,,
676,Heatstroke,Excessive sweating,,,
677,Bone Fracture/Dislocation,Bruising of joint,,,
678,Cardiac Arrest,Breathing difficulty,Absence of pulse,Chest pain,
679,External Bleeding,Bleeding from an open wound,,,
680,Heatstroke,High body temperature,Excessive sweating,,
681,Sprains,Bruising of joint,,,
682,Cardiac Arrest,Unconsciousness,Chest pain,,
683,Heatstroke,Dizziness/light-headed,,,
684,Sprains,Swelling of joint,,,
685,Bone Fracture/Dislocation,Visible deformity of bone/joint,Bruising of joint,,
686,Heatstroke,Excessive sweating,Clammy skin,High body temperature,Dizziness/light-headed
687,Hyperventilation,Breathing difficulty,,,
688,Bone Fracture/Dislocation,Bruising of joint,Swelling of joint,Visible deformity of bone/joint,
689,Concussion,Disorientation,Bruising/swelling on head,Headache,
690,Hyperventilation,Disorientation,Dizziness/light-headed,,
691,Heatstroke,High body temperature,Excessive sweating,Clammy skin,Dizziness/light-headed
692,Concussion,Unconsciousness,Bruising/swelling on head,Headache,
693,Bone Fracture/Dislocation,Visible deformity of bone/joint,,,
694,External Bleeding,Bleeding from an open wound,,,
695,Cardiac Arrest,Breathing difficulty,Chest pain,Unconsciousness,Absence of pulse
696,Stroke,Slurred speech,,,
697,External Bleeding,Bleeding from an open wound,,,
698,Stroke,Slurred speech,Lopsided facial expression,Loss of arm mobility,
699,External Bleeding,Bleeding from an open wound,,,
700,Hyperventilation,Palpitation/rapid pulse,Breathing difficulty,,
701,Stroke,Lopsided facial expression,Loss of arm mobility,Slurred speech,Unconsciousness
702,Sprains,Bruising of joint,,,
703,Concussion,Unconsciousness,Headache,Bruising/swelling on head,Disorientation
704,Hyperventilation,Palpitation/rapid pulse,Dizziness/light-headed,Breathing difficulty,
705,Cardiac Arrest,Absence of pulse,Unconsciousness,Breathing difficulty,Chest pain
706,Sprains,Swelling of joint,Bruising of joint,,
707,Cardiac Arrest,Unconsciousness,Chest pain,Breathing difficulty,Absence of pulse
708,Cardiac Arrest,Chest pain,Absence of pulse,,
709,Stroke,Lopsided facial expression,Unconsciousness,Loss of arm mobility,Slurred speech
710,Epileptic Seizures,Disorientation,,,
711,Stroke,Loss of arm mobility,Lopsided facial expression,,
712,Concussion,Unconsciousness,Disorientation,Headache,Bruising/swelling on head
713,Concussion,Unconsciousness,Bruising/swelling on head,Disorientation,Headache
714,Hyperventilation,Palpitation/rapid pulse,Disorientation,Breathing difficulty,
715,Heatstroke,Excessive sweating,High body temperature,Clammy skin,
716,External Bleeding,Bleeding from an open wound,,,
717,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
718,Sprains,Swelling of joint,,,
719,Sprains,Bruising of joint,Swelling of joint,,
720,Stroke,Lopsided facial expression,Loss of arm mobility,,
721,Epileptic Seizures,Breathing difficulty,Jerking of limbs,Unconsciousness,
722,Bone Fracture/Dislocation,Swelling of joint,Bruising of joint,,
723,Hyperventilation,Palpitation/rapid pulse,Dizziness/light-headed,Breathing difficulty,
724,Burn/Scalds,Red/peeling skin,,,
725,Hyperventilation,Breathing difficulty,,,
726,Heatstroke,Dizziness/light-headed,High body temperature,Clammy skin,Excessive sweating
727,Stroke,Lopsided facial expression,,,
728,Sprains,Bruising of joint,Swelling of joint,,
729,Bone Fracture/Dislocation,Visible deformity of bone/joint,,,
730,Cardiac Arrest,Absence of pulse,Chest pain,,
731,Sprains,Swelling of joint,Bruising of joint,,
732,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
733,Stroke,Lopsided facial expression,Unconsciousness,Loss of arm mobility,
734,Sprains,Bruising of joint,,,
735,Burn/Scalds,Red/peeling skin,,,
736,Concussion,Headache,Bruising/swelling on head,Disorientation,
737,Hyperventilation,Dizziness/light-headed,Disorientation,Breathing difficulty,Palpitation/rapid pulse
738,Hyperventilation,Dizziness/light-headed,Breathing difficulty,Disorientation,
739,External Bleeding,Bleeding from an open wound,,,
740,External Bleeding,Bleeding from an open wound,,,
741,Cardiac Arrest,Chest pain,,,
742,Hyperventilation,Dizziness/light-headed,,,
743,Epileptic Seizures,Disorientation,,,
744,Hyperventilation,Dizziness/light-headed,Disorientation,,
745,Stroke,Lopsided facial expression,Unconsciousness,Loss of arm mobility,
746,Heatstroke,Dizziness/light-headed,Clammy skin,High body temperature,
747,Epileptic Seizures,Unconsciousness,,,
748,Hyperventilation,Palpitation/rapid pulse,Breathing difficulty,Disorientation,
749,Bone Fracture/Dislocation,Bruising of joint,Swelling of joint,Visible deformity of bone/joint,
750,Burn/Scalds,Charred/blistered skin,,,
751,Heatstroke,High body temperature,Clammy skin,,
752,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
753,Bone Fracture/Dislocation,Swelling of joint,Visible deformity of bone/joint,,
754,Concussion,Disorientation,Unconsciousness,,
755,Epileptic Seizures,Breathing difficulty,Unconsciousness,Disorientation,Jerking of limbs
756,Cardiac Arrest,Chest pain,Unconsciousness,Breathing difficulty,
757,External Bleeding,Bleeding from an open wound,,,
758,Hyperventilation,Breathing difficulty,Disorientation,Dizziness/light-headed,
759,Bone Fracture/Dislocation,Visible deformity of bone/joint,Swelling of joint,,
760,Hyperventilation,Dizziness/light-headed,Disorientation,Breathing difficulty,Palpitation/rapid pulse
761,Burn/Scalds,Red/peeling skin,,,
762,Concussion,Bruising/swelling on head,Unconsciousness,Headache,
763,External Bleeding,Bleeding from an open wound,,,
764,Cardiac Arrest,Absence of pulse,Breathing difficulty,Unconsciousness,
765,Concussion,Disorientation,Bruising/swelling on head,Headache,
766,Concussion,Bruising/swelling on head,Unconsciousness,,
767,Stroke,Slurred speech,Loss of arm mobility,Lopsided facial expression,Unconsciousness
768,Hyperventilation,Disorientation,Dizziness/light-headed,Breathing difficulty,
769,Bone Fracture/Dislocation,Visible deformity of bone/joint,,,
770,Bone Fracture/Dislocation,Bruising of joint,,,
771,Bone Fracture/Dislocation,Swelling of joint,,,
772,Hyperventilation,Disorientation,,,
773,Cardiac Arrest,Chest pain,,,
774,Epileptic Seizures,Disorientation,Breathing difficulty,Jerking of limbs,Unconsciousness
775,Burn/Scalds,Charred/blistered skin,,,
776,Heatstroke,High body temperature,Dizziness/light-headed,,
777,Stroke,Slurred speech,Unconsciousness,,
778,Heatstroke,Clammy skin,,,
779,Bone Fracture/Dislocation,Visible deformity of bone/joint,Swelling of joint,,
780,Concussion,Bruising/swelling on head,Unconsciousness,Disorientation,
781,Bone Fracture/Dislocation,Visible deformity of bone/joint,Bruising of joint,,
782,Bone Fracture/Dislocation,Bruising of joint,,,
783,Cardiac Arrest,Breathing difficulty,Unconsciousness,Absence of pulse,Chest pain
784,Hyperventilation,Disorientation,Dizziness/light-headed,,
785,Bone Fracture/Dislocation,Visible deformity of bone/joint,,,
786,Stroke,Lopsided facial expression,Unconsciousness,Loss of arm mobility,
787,Heatstroke,Dizziness/light-headed,Clammy skin,Excessive sweating,
788,Stroke,Lopsided facial expression,Slurred speech,Loss of arm mobility,
789,Stroke,Loss of arm mobility,Lopsided facial expression,Unconsciousness,Slurred speech
790,Cardiac Arrest,Absence of pulse,Breathing difficulty,,
791,Bone Fracture/Dislocation,Swelling of joint,Visible deformity of bone/joint,Bruising of joint,
792,Hyperventilation,Breathing difficulty,Palpitation/rapid pulse,Dizziness/light-headed,Disorientation
793,Epileptic Seizures,Jerking of limbs,Breathing difficulty,Unconsciousness,Disorientation
794,Sprains,Swelling of joint,Bruising of joint,,
795,External Bleeding,Bleeding from an open wound,,,
796,Sprains,Bruising of joint,,,
797,External Bleeding,Bleeding from an open wound,,,
798,Cardiac Arrest,Absence of pulse,,,
799,Epileptic Seizures,Unconsciousness,Breathing difficulty,Jerking of limbs,
800,Heatstroke,High body temperature,,,
801,Concussion,Disorientation,Headache,Unconsciousness,
802,Heatstroke,Clammy skin,High body temperature,Excessive sweating,Dizziness/light-headed
803,Hyperventilation,Palpitation/rapid pulse,,,
804,Burn/Scalds,Charred/blistered skin,,,
805,Stroke,Unconsciousness,,,
806,Sprains,Bruising of joint,,,
807,Stroke,Loss of arm mobility,Unconsciousness,Slurred speech,Lopsided facial expression
808,External Bleeding,Bleeding from an open wound,,,
809,Cardiac Arrest,Breathing difficulty,Unconsciousness,Chest pain,Absence of pulse
810,External Bleeding,Bleeding from an open wound,,,
811,Hyperventilation,Palpitation/rapid pulse,Dizziness/light-headed,,
812,Cardiac Arrest,Breathing difficulty,,,
813,External Bleeding,Bleeding from an open wound,,,
814,Hyperventilation,Palpitation/rapid pulse,Dizziness/light-headed,Disorientation,
815,Cardiac Arrest,Unconsciousness,Absence of pulse,Chest pain,Breathing difficulty
816,Bone Fracture/Dislocation,Bruising of joint,Swelling of joint,Visible deformity of bone/joint,
817,Heatstroke,Dizziness/light-headed,Clammy skin,High body temperature,
818,Hyperventilation,Breathing difficulty,Palpitation/rapid pulse,Dizziness/light-headed,
819,Concussion,Unconsciousness,Headache,Disorientation,Bruising/swelling on head
820,Bone Fracture/Dislocation,Visible deformity of bone/joint,Swelling of joint,,
821,Epileptic Seizures,Breathing difficulty,,,
822,Bone Fracture/Dislocation,Bruising of joint,,,
823,Bone Fracture/Dislocation,Swelling of joint,,,
824,Stroke,Loss of arm mobility,Unconsciousness,Lopsided facial expression,Slurred speech
825,Sprains,Swelling of joint,,,
826,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
827,Burn/Scalds,Charred/blistered skin,,,
828,Concussion,Bruising/swelling on head,,,
829,External Bleeding,Bleeding from an open wound,,,
830,Bone Fracture/Dislocation,Visible deformity of bone/joint,Bruising of joint,,
831,External Bleeding,Bleeding from an open wound,,,
832,Concussion,Headache,,,
833,Heatstroke,Dizziness/light-headed,,,
834,Bone Fracture/Dislocation,Visible deformity of bone/joint,,,
835,Epileptic Seizures,Breathing difficulty,,,
836,Sprains,Swelling of joint,,,
837,Cardiac Arrest,Chest pain,Breathing difficulty,,
838,Sprains,Bruising of joint,Swelling of joint,,
839,Epileptic Seizures,Unconsciousness,Breathing difficulty,Disorientation,Jerking of limbs
840,External Bleeding,Bleeding from an open wound,,,
841,External Bleeding,Bleeding from an open wound,,,
842,Sprains,Bruising of joint,Swelling of joint,,
843,Burn/Scalds,Red/peeling skin,,,
844,Concussion,Headache,Disorientation,Unconsciousness,Bruising/swelling on head
845,Hyperventilation,Dizziness/light-headed,Breathing difficulty,,
846,External Bleeding,Bleeding from an open wound,,,
847,Sprains,Swelling of joint,,,
848,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
849,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
850,Concussion,Disorientation,Unconsciousness,,
851,Concussion,Bruising/swelling on head,Unconsciousness,,
852,Epileptic Seizures,Jerking of limbs,Breathing difficulty,Unconsciousness,
853,Hyperventilation,Breathing difficulty,Palpitation/rapid pulse,Dizziness/light-headed,Disorientation
854,Heatstroke,Clammy skin,,,
855,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
856,Epileptic Seizures,Disorientation,Breathing difficulty,Jerking of limbs,Unconsciousness
857,Epileptic Seizures,Jerking of limbs,Breathing difficulty,Unconsciousness,
858,Cardiac Arrest,Breathing difficulty,Absence of pulse,Unconsciousness,Chest pain
859,Heatstroke,Excessive sweating,High body temperature,Clammy skin,Dizziness/light-headed
860,Concussion,Unconsciousness,Disorientation,Headache,Bruising/swelling on head
861,Stroke,Unconsciousness,,,
862,Sprains,Bruising of joint,,,
863,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
864,Hyperventilation,Dizziness/light-headed,Disorientation,Breathing difficulty,Palpitation/rapid pulse
865,Cardiac Arrest,Chest pain,,,
866,Stroke,Unconsciousness,Slurred speech,Loss of arm mobility,Lopsided facial expression
867,Heatstroke,Clammy skin,Excessive sweating,,
868,Heatstroke,Clammy skin,Excessive sweating,,
869,Bone Fracture/Dislocation,Visible deformity of bone/joint,Bruising of joint,,
870,Hyperventilation,Disorientation,Palpitation/rapid pulse,,
871,Heatstroke,Dizziness/light-headed,High body temperature,,
872,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
873,Epileptic Seizures,Jerking of limbs,Unconsciousness,,
874,Burn/Scalds,Red/peeling skin,,,
875,Bone Fracture/Dislocation,Swelling of joint,Visible deformity of bone/joint,,
876,Heatstroke,Dizziness/light-headed,High body temperature,,
877,Heatstroke,Clammy skin,Dizziness/light-headed,High body temperature,
878,Concussion,Bruising/swelling on head,Disorientation,,
879,External Bleeding,Bleeding from an open wound,,,
880,Hyperventilation,Palpitation/rapid pulse,Disorientation,Breathing difficulty,
881,Sprains,Bruising of joint,,,
882,Hyperventilation,Dizziness/light-headed,Palpitation/rapid pulse,,
883,Epileptic Seizures,Jerking of limbs,Disorientation,Unconsciousness,
884,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
885,External Bleeding,Bleeding from an open wound,,,
886,External Bleeding,Bleeding from an open wound,,,
887,Concussion,Unconsciousness,Headache,Bruising/swelling on head,Disorientation
888,Cardiac Arrest,Chest pain,Breathing difficulty,Absence of pulse,Unconsciousness
889,Cardiac Arrest,Unconsciousness,Breathing difficulty,Chest pain,Absence of pulse
890,Bone Fracture/Dislocation,Visible deformity of bone/joint,Swelling of joint,Bruising of joint,
891,Epileptic Seizures,Breathing difficulty,Jerking of limbs,,
892,External Bleeding,Bleeding from an open wound,,,
893,External Bleeding,Bleeding from an open wound,,,
894,Epileptic Seizures,Jerking of limbs,Breathing difficulty,Disorientation,
895,Burn/Scalds,Red/peeling skin,Charred/blistered skin,,
896,Sprains,Bruising of joint,,,
897,Epileptic Seizures,Breathing difficulty,Disorientation,Unconsciousness,Jerking of limbs
898,Sprains,Swelling of joint,,,
899,Heatstroke,High body temperature,Excessive sweating,Clammy skin,
900,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
901,Sprains,Bruising of joint,,,
902,Cardiac Arrest,Breathing difficulty,Unconsciousness,,
903,Cardiac Arrest,Absence of pulse,Breathing difficulty,Chest pain,Unconsciousness
904,External Bleeding,Bleeding from an open wound,,,
905,Hyperventilation,Palpitation/rapid pulse,,,
906,Bone Fracture/Dislocation,Visible deformity of bone/joint,Swelling of joint,,
907,Epileptic Seizures,Jerking of limbs,Breathing difficulty,,
908,Sprains,Swelling of joint,,,
909,Epileptic Seizures,Jerking of limbs,Breathing difficulty,Unconsciousness,Disorientation
910,Epileptic Seizures,Jerking of limbs,Breathing difficulty,,
911,Epileptic Seizures,Jerking of limbs,Unconsciousness,,
912,Heatstroke,High body temperature,,,
913,Sprains,Swelling of joint,Bruising of joint,,
914,Sprains,Bruising of joint,Swelling of joint,,
915,Hyperventilation,Palpitation/rapid pulse,Breathing difficulty,Dizziness/light-headed,
916,Cardiac Arrest,Breathing difficulty,Chest pain,Absence of pulse,
917,Stroke,Slurred speech,Loss of arm mobility,Unconsciousness,Lopsided facial expression
918,External Bleeding,Bleeding from an open wound,,,
919,External Bleeding,Bleeding from an open wound,,,
920,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
921,External Bleeding,Bleeding from an open wound,,,
922,Concussion,Disorientation,Unconsciousness,,
923,Stroke,Lopsided facial expression,Loss of arm mobility,Slurred speech,
924,External Bleeding,Bleeding from an open wound,,,
925,Sprains,Swelling of joint,,,
926,Hyperventilation,Disorientation,Dizziness/light-headed,,
927,External Bleeding,Bleeding from an open wound,,,
928,Stroke,Unconsciousness,Loss of arm mobility,,
929,Cardiac Arrest,Absence of pulse,Breathing difficulty,,
930,Heatstroke,Excessive sweating,Dizziness/light-headed,High body temperature,Clammy skin
931,Sprains,Bruising of joint,Swelling of joint,,
932,Heatstroke,Excessive sweating,Clammy skin,,
933,Sprains,Bruising of joint,Swelling of joint,,
934,Cardiac Arrest,Absence of pulse,Chest pain,,
935,Stroke,Slurred speech,Loss of arm mobility,Lopsided facial expression,
936,Concussion,Unconsciousness,Bruising/swelling on head,,
937,Heatstroke,Dizziness/light-headed,Excessive sweating,,
938,Stroke,Lopsided facial expression,,,
939,Bone Fracture/Dislocation,Visible deformity of bone/joint,Swelling of joint,,
940,Epileptic Seizures,Disorientation,,,
941,Cardiac Arrest,Absence of pulse,,,
942,Hyperventilation,Disorientation,Palpitation/rapid pulse,Dizziness/light-headed,
943,Epileptic Seizures,Unconsciousness,Jerking of limbs,Disorientation,
944,Concussion,Unconsciousness,Headache,,
945,External Bleeding,Bleeding from an open wound,,,
946,Epileptic Seizures,Jerking of limbs,Disorientation,,
947,Sprains,Swelling of joint,,,
948,External Bleeding,Bleeding from an open wound,,,
949,Epileptic Seizures,Breathing difficulty,Unconsciousness,Disorientation,
950,Bone Fracture/Dislocation,Bruising of joint,Visible deformity of bone/joint,,
951,Sprains,Bruising of joint,,,
952,Concussion,Unconsciousness,Disorientation,Headache,Bruising/swelling on head
953,Concussion,Bruising/swelling on head,,,
954,External Bleeding,Bleeding from an open wound,,,
955,Cardiac Arrest,Absence of pulse,,,
956,Epileptic Seizures,Breathing difficulty,Unconsciousness,,
957,Sprains,Bruising of joint,,,
958,Bone Fracture/Dislocation,Bruising of joint,,,
959,External Bleeding,Bleeding from an open wound,,,
960,Cardiac Arrest,Chest pain,Absence of pulse,Unconsciousness,Breathing difficulty
961,Sprains,Bruising of joint,Swelling of joint,,
962,Heatstroke,High body temperature,Clammy skin,Excessive sweating,
963,External Bleeding,Bleeding from an open wound,,,
964,Burn/Scalds,Charred/blistered skin,,,
965,Concussion,Bruising/swelling on head,Disorientation,Headache,Unconsciousness
966,Sprains,Swelling of joint,,,
967,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
968,Cardiac Arrest,Breathing difficulty,Chest pain,Unconsciousness,
969,Stroke,Lopsided facial expression,Slurred speech,,
970,Stroke,Slurred speech,Unconsciousness,,
971,Sprains,Bruising of joint,,,
972,Heatstroke,High body temperature,,,
973,Burn/Scalds,Red/peeling skin,,,
974,Heatstroke,Clammy skin,,,
975,Heatstroke,Clammy skin,Excessive sweating,,
976,Sprains,Bruising of joint,Swelling of joint,,
977,Cardiac Arrest,Breathing difficulty,Unconsciousness,Absence of pulse,
978,Hyperventilation,Palpitation/rapid pulse,Breathing difficulty,Disorientation,Dizziness/light-headed
979,Concussion,Disorientation,Bruising/swelling on head,Unconsciousness,
980,Bone Fracture/Dislocation,Bruising of joint,,,
981,Hyperventilation,Disorientation,Palpitation/rapid pulse,Dizziness/light-headed,Breathing difficulty
982,Stroke,Loss of arm mobility,Unconsciousness,Lopsided facial expression,
983,Heatstroke,High body temperature,Excessive sweating,Clammy skin,Dizziness/light-headed
984,Heatstroke,Dizziness/light-headed,,,
985,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
986,Hyperventilation,Disorientation,,,
987,Heatstroke,Dizziness/light-headed,Excessive sweating,,
988,Hyperventilation,Breathing difficulty,Palpitation/rapid pulse,Disorientation,Dizziness/light-headed
989,Sprains,Swelling of joint,Bruising of joint,,
990,Epileptic Seizures,Unconsciousness,,,
991,Stroke,Loss of arm mobility,Lopsided facial expression,,
992,Bone Fracture/Dislocation,Swelling of joint,,,
993,Concussion,Headache,Disorientation,,
994,Concussion,Unconsciousness,,,
995,Sprains,Swelling of joint,,,
996,Stroke,Lopsided facial expression,Unconsciousness,Loss of arm mobility,
997,Concussion,Unconsciousness,Disorientation,,
998,Stroke,Loss of arm mobility,,,
999,Epileptic Seizures,Disorientation,Jerking of limbs,,
